Dataset,Matrix_Name,Rows,Columns,NNZ,Mean_NNZ_Per_Row,Std_Dev_NNZ,Max_NNZ_Per_Row,Empty_Rows,Empty_Rows_Percent,Config_Threads,Config_Threshold,Short_Rows,Short_Rows_Percent,Long_Rows,Long_Rows_Percent,Launch_Blocks,Launch_Short_Blocks,Launch_Long_Blocks,Execution_Time_Seconds,Bandwidth_GB_s,Performance_GFLOPS,Arithmetic_Intensity
Goodwin_127,Goodwin_127,178437,178437,5778545,32.38,15.99,62,0,0.00,512,128,178437,100.0,0,0.0,349,349,0,0.000121,589.60,95.32,0.162
Goodwin_127,Goodwin_127,178437,178437,5778545,32.38,15.99,62,0,0.00,512,256,178437,100.0,0,0.0,349,349,0,0.000121,589.00,95.23,0.162
Goodwin_127,Goodwin_127,178437,178437,5778545,32.38,15.99,62,0,0.00,1024,16,8111,4.5,170326,95.5,5331,8,5323,0.000340,210.04,33.96,0.162
Goodwin_127,Goodwin_127,178437,178437,5778545,32.38,15.99,62,0,0.00,1024,32,82682,46.3,95755,53.7,3074,81,2993,0.000243,294.50,47.61,0.162
Goodwin_127,Goodwin_127,178437,178437,5778545,32.38,15.99,62,0,0.00,1024,64,178437,100.0,0,0.0,175,175,0,0.000146,488.99,79.06,0.162
Goodwin_127,Goodwin_127,178437,178437,5778545,32.38,15.99,62,0,0.00,1024,128,178437,100.0,0,0.0,175,175,0,0.000146,490.37,79.28,0.162
Goodwin_127,Goodwin_127,178437,178437,5778545,32.38,15.99,62,0,0.00,1024,256,178437,100.0,0,0.0,175,175,0,0.000142,502.51,81.24,0.162
ML_Geer,ML_Geer,1504002,1504002,110879972,73.72,2.51,74,0,0.00,128,16,0,0.0,1504002,100.0,376001,0,376001,0.003214,419.63,69.00,0.164
ML_Geer,ML_Geer,1504002,1504002,110879972,73.72,2.51,74,0,0.00,128,32,8,0.0,1503994,100.0,376000,1,375999,0.002657,507.56,83.46,0.164
ML_Geer,ML_Geer,1504002,1504002,110879972,73.72,2.51,74,0,0.00,128,64,15992,1.1,1488010,98.9,372128,125,372003,0.002682,502.82,82.68,0.164
